provincia,localidad,direccion,margen,horario,latitud,longitud,empresa,precios,fechaRevision,fechaUltima,ventaPublico
ALBACETE,ABENGIBRE,"AVENIDA CASTILLA LA MANCHA, 26",Derecho,L-D: 07:00-22:00,39.211417,-1.539167,Nº 10.935,"['SP-95 1,749', 'G-A 1,869', 'Gasóleo B 1,370']",18/11/2022,17/11/2022,Venta al Público
ALBACETE,ALATOZ,"CR CM-332, 46,4",Izquierdo,L-D: 7:00-23:00,39.100389,-1.346083,REPSOL,"['SP-95 1,909', 'SP-98 2,200', 'G-A 2,040', 'G-A+ 2,300']",18/11/2022,01/11/2022,Venta al Público
ALBACETE,ALBACETE,"AVDA. DE LOS TOREROS, S/N",N,L-D: 07:00-23:00,38.998222,-1.869889,INPEALSA,"['SP-95 1,769', 'G-A 1,839', 'G-A+ 1,889']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"SECTOR PARCELA T-3 LOCAL52, 14",N,L-S: 06:00-23:00; D: 08:00-23:00,39.009639,-1.878111,ALCAMPO,"['SP-95 1,736', 'SP-98 1,874', 'G-A 1,837', 'G-A+ 1,874']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",N,L-D: 07:00-23:00,38.982167,-1.853306,INPEALSA,"['SP-95 1,769', 'G-A 1,839']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CALLE HERMANOS FALCÓ, 2",Derecho,L-D: 06:30-22:30,38.989250,-1.849028,CEPSA,"['SP-95 1,799', 'SP-98 1,899', 'G-A 1,919', 'G-A+ 1,999']",18/11/2022,17/11/2022,Venta al Público
ALBACETE,ALBACETE,CARRETERA JAEN KM. 2,Derecho,L-D: 24H,38.994667,-1.871722,REPSOL,"['SP-95 1,789', 'SP-98 1,939', 'G-A 1,899', 'G-A+ 1,959']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"MADRID-CARTAGENA km 248,5",Izquierdo,L-V: 06:00-22:00,38.971778,-1.845306,LOS ANGELES DE LA MANCHA,"['SP-95 1,799', 'SP-98 1,919', 'G-A 1,929', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CR N-322, 337,8",Izquierdo,L-D: 06:30-22:00,38.925833,-2.031861,REPSOL,"['SP-95 1,839', 'SP-98 2,069', 'G-A 1,949', 'G-A+ 2,019']",18/11/2022,16/11/2022,Venta al Público
ALBACETE,ALBACETE,"PG CAMPOLLANO-P. 2-CT, S.N.",Derecho,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,39.012583,-1.874972,REPSOL,"['SP-95 1,779', 'SP-98 1,919', 'G-A+ 1,979', 'G-A 1,929']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"AVENIDA MENÉNDEZ PIDAL, 58",N,L-D: 24H,39.003333,-1.864917,TAMOS,"['SP-95 1,739', 'SP-98 1,859', 'G-A 1,859', 'G-A+ 1,919']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CALLE CTRA. DE JAEN, 79",Izquierdo,L-D: 06:00-23:00,38.988111,-1.883694,REPSOL,"['SP-95 1,789', 'SP-98 1,959', 'G-A 1,909', 'G-A+ 1,979']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,CARRETERA N-322 KM. 359,Derecho,L-V: 07:00-21:00; S-D: 09:00-14:00,39.033139,-1.845083,REPSOL,"['SP-95 1,769', 'SP-98 1,909', 'G-A+ 1,979', 'G-A 1,919']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CL PASEO DE LA CUBA, 15",Derecho,L-D: 06:00-22:00,38.999722,-1.854556,REPSOL,"['SP-95 1,779', 'SP-98 1,899', 'G-A 1,919', 'G-A+ 1,979', 'GLP 1,039']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CALLE ALMANSA, 2",Izquierdo,L-D: 06:00-23:00,38.984139,-1.847083,CEPSA,"['SP-95 1,774', 'SP-98 1,906', 'G-A 1,879', 'G-A+ 1,945']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CARRETERA C-M 332 KM. 2,6",Derecho,L-D: 06:00-23:30,38.998111,-1.831611,INLOCOR S.L. CEPSA,"['SP-95 1,799', 'SP-98 1,959', 'G-A 1,939', 'G-A+ 1,999', 'Gasóleo B 1,639']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"AUTOVIA A-30 KM. 239,4",Izquierdo,L-D: 24H,39.060528,-1.933056,CEPSA,"['SP-95 1,774', 'G-A 1,889', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,AUTOVIA A-31 KM. 69,Izquierdo,L-D: 06:00-22:00,39.031528,-1.891361,REPSOL,"['SP-95 1,779', 'SP-98 1,899', 'G-A 1,919', 'G-A+ 1,979', 'GLP 1,039']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,CARRETERA N-322 KM. 349,Derecho,L-D: 24H,38.970167,-1.919778,CEPSA,"['SP-95 1,799', 'SP-98 1,859', 'G-A 1,909', 'G-A+ 1,979']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"AVENIDA 1º DE MAYO, S/N",N,L-S: 08:00-22:00; D: 09:00-21:00,38.985667,-1.868500,CARREFOUR,"['SP-95 1,789', 'SP-98 1,939', 'G-A 1,899', 'G-A+ 1,939']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"CR N-301, 244",Izquierdo,L-D: 24H,39.027778,-1.892972,REPSOL,"['SP-95 1,769', 'SP-98 1,909', 'G-A+ 1,969', 'G-A 1,919']",18/11/2022,18/11/2022,Venta al Público
ALBACETE,ALBACETE,"AVENIDA PRIMERA, 94",N,L-V: 06:00-22:00; S: 06:00-14:00,39.016361,-1.893944,INPEALSA,"['SP-95 1,769', 'G-A 1,819', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
